cantonese,english
daa2ziu1fu1,to greet
daai6gaa1,everyone
man4jyun4,clerk
ging1lei5,manager
bei3syu1,secretary
fun1jing4,to welcome
gaai3siu6,to introduce
san1,new colleague
tung4si6,colleague
jat1zan6,a moment
sin1,first
m4sai2 haak3hei3,you're welcome
wan2,to look for
bat1jyu4,let's
jat1cai4,together
sung3 tong1,complimentary soup
giu3,to order
maai4daan1,to pay the bill
ng5caan1,lunch
ji3 fan2,pasta
min6,noodles
caan1jam2,drinks
paa2,steak
gai1,chicken
caa1siu1,bbq pork
faan6,rice
dung3,cold
caau2,stirfried
daan2,eggs
zin1,panfried
ning2mung1,lemon
tim4,sweet
bing1,ice
naai5,milk
zaai1,vegetarian
lau2,floor
jan4si6bou6,Human Resources
jing4jip6bou6,Sales Department
zung2mou6bou6,General Affairs
wui6gai3bou6,Accounting
caan1teng1,Canteen
lip1,lift
dap3,to take
lau2soeng6,upstairs
lau2haa6,downstairs
zo2,left
jau6,right
cin4,in front of
hau6,behind
tung4maai4,and
hoeng3,towards
ceot1,exit
toi2,table
dang3,chair
soeng6min6,on
haa6min6,under
hoi1wui2,to have a meeting
si4gaan3,time
zip3 din6waa2,to answer a call
dap3 din6waa2,to give a call
cing2man6,may i ask
ho2 ji5,can
deng6,to book
wui6 ji5 sat1,meeting room
gei2si4,what time
hou6,date
zi3,to
mou5 man6tai4,no problem
caa4seon1,enquiry
wui4fuk1,to reply
gei1piu3,flight ticket
daan6go1,cake
bong1 dou2,to help
mat1je5,stuff
ji1jyun2,hospital
ji1sang1,doctor
baas1si2,bus
zaam6,station
dou6hip3,to apologise
goi2kei4,to reschedule
tai4tai4,to remind
zan1hai6,really
goi2,to change
gam1ziu1,this morning
taai3mong4,too busy
gei3dak1,to remember
m4 gei3dak1,to forget
tung1zi1,to inform
m4 gan2jiu3,nevermind
ceoi2siu1,to cancel
ciu1si5,supermarket
beng2gon1,biscuit
gei2do1 cin2,how much
hap6,box
gaa3cin4,price
dak6gaa3,special price
faai3,piece
peng4,cheap
gwai3,expensive
ho2nang4,maybe
paai4deoi2,to line up
bei2cin2,to pay
siu2sik6,snack
jam2ban2,drinks
sai3,small
daai6,big
baau1,pack