French,English
saluer,to greet
tout le monde,everyone
assistant,clerk
responsable,manager
secretaire,secretary
souhaiter la bienvenue,to welcome
presenter,to introduce
nouveau,new
collegue,colleague
un moment,a moment
d'abord,first
de rien,you're welcome
chercher,to look for
oeufs,eggs
ensemble,together
soupe gratuite,complimentary soup
commander,to order
l'addition,to pay the bill
le dejeuner,lunch
les pates,pasta
les nouilles,noodles
les boissons,drinks
un steak,steak
un poulet,chicken
porc grille,bbq pork
le riz,rice
froid,cold
citron,lemon
sucre,sweet
glace,ice
lait,milk
vegetarien,vegetarian
etage,floor
Ressource Humaine,Human Resources
Vente,Sales Department
,
comptabilite,Accounting
cantine,Canteen
l'ascenseur,lift
prendre,to take
en haut,upstairs
en bas,downstairs
gauche,left
droite,right
devant,in front of
derriere,behind
et,and
vers,towards
sortie,exit
table,table
chaise,chair
sur,on
sous,under
faire une reunion,to have a meeting
temps,time
repondre,to answer a call
appeler,to give a call
pack,pack
pouvoir,can
reserver,to book
salle de reunion,meeting room
quelle heure,what time
date,date
a,to
pas de probleme,no problem
demander,enquiry
repondre,to reply
billet d'avion,flight ticket
gateau,cake
aider,to help
trucs,stuff
hopital,hospital
docteur,doctor
bus,bus
station,station
s'excuser,to apologise
replannifier,to reschedule
rapeller,to remind
vraiment,really
changer,to change
ce matin,this morning
trop occupe,too busy
se souvenir,to remember
oublier,to forget
informer,to inform
c'est pas grave,nevermind
annuler,to cancel
supermarche,supermarket
biscuit,biscuit
combien,how much
boite,box
prix,price
prix special,special price
piece,piece
pas cher,cheap
cher,expensive
peut etre,maybe
faire la queue,to line up
payer,to pay
snack,snack
boissons,drinks
petit,small
grand,big